symbol,price,signal,score,confidence,buy_votes,sell_votes,ret_1d,ret_5d,ret_1mo,ret_3mo,vol_ann,reason,sig_trend,sig_momentum,sig_rsi,sig_macd,sig_bollinger,sig_volume,sig_reversal,sig_volatility
EWY,149.68,NEUTRAL,1,12.5,3,2,-1.74,129.69,129.69,129.69,61.2,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +106.9% | RSI=82.3 (overbought),1,1,-1,1,-1,0,0,0
EWP,57.88,WEAK BUY,2,25.0,4,2,-0.87,38.28,38.28,38.28,24.8,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +27.3% | RSI=83.9 (overbought),1,1,-1,1,-1,0,0,1
VXX,29.465,WEAK SELL,-2,25.0,2,4,1.67,-45.66,-45.66,-45.66,68.3,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -37.7% | RSI=15.2 (oversold),-1,-1,1,-1,1,0,0,-1
EWQ,46.375,NEUTRAL,1,12.5,3,2,-0.82,11.67,11.67,11.67,24.1,Price > SMA50 > SMA200 (uptrend) | RSI=83.5 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
EWL,62.315,NEUTRAL,1,12.5,3,2,-0.2,16.65,16.65,16.65,19.5,Price > SMA50 > SMA200 (uptrend) | RSI=77.9 (overbought) | MACD line above signal,1,0,-1,1,-1,0,0,1
EWI,58.485,WEAK BUY,2,25.0,4,2,-0.4,28.08,28.08,28.08,23.8,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +14.9% | RSI=91.5 (overbought),1,1,-1,1,-1,0,0,1
SPXU,44.042,NEUTRAL,0,0.0,3,3,1.11,-38.53,-38.53,-38.53,54.0,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -23.1% | RSI=3.4 (oversold),-1,-1,1,-1,1,0,1,0
SQQQ,57.4401,NEUTRAL,-1,12.5,3,4,1.86,-45.78,-45.78,-45.78,67.2,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -28.9% | RSI=3.1 (oversold),-1,-1,1,-1,1,0,1,-1
TQQQ,57.515,NEUTRAL,-1,12.5,2,3,-1.83,57.47,57.47,57.47,66.9,12-1mo return: +24.9% | RSI=95.1 (overbought) | MACD line above signal,0,1,-1,1,-1,0,-1,0
UPRO,123.93,NEUTRAL,0,0.0,3,3,-1.04,51.53,51.53,51.53,54.0,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +24.0% | RSI=95.7 (overbought),1,1,-1,1,-1,0,-1,0
SOXL,94.0099,NEUTRAL,0,0.0,3,3,-0.71,340.4,340.4,340.4,126.8,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +157.0% | RSI=98.8 (overbought),1,1,-1,1,-1,0,-1,0
UVXY,39.09,WEAK SELL,-2,25.0,2,4,2.46,-65.3,-65.3,-65.3,105.6,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -56.5% | RSI=14.6 (oversold),-1,-1,1,-1,1,0,0,-1
SOXS,19.015,NEUTRAL,-1,12.5,3,4,0.77,-89.55,-89.55,-89.55,127.7,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -79.2% | RSI=0.5 (oversold),-1,-1,1,-1,1,0,1,-1
ARKQ,129.41,NEUTRAL,1,12.5,3,2,-0.32,56.35,56.35,56.35,38.7,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +43.7% | RSI=90.7 (overbought),1,1,-1,1,-1,0,0,0
ARKW,138.42,WEAK SELL,-2,25.0,1,3,-0.5,4.68,4.68,4.68,39.4,RSI=89.7 (overbought) | MACD line above signal | Near upper band (BB%=0.94),0,0,-1,1,-1,0,-1,0
ARKG,31.32,NEUTRAL,-1,12.5,2,3,1.72,32.32,32.32,32.32,44.5,12-1mo return: +12.8% | RSI=84.7 (overbought) | MACD line above signal,0,1,-1,1,-1,0,-1,0
ARKK,78.755,NEUTRAL,-1,12.5,2,3,-0.6,23.23,23.23,23.23,43.2,12-1mo return: +11.2% | RSI=89.3 (overbought) | MACD line above signal,0,1,-1,1,-1,0,-1,0
ARKF,43.37,SELL,-3,37.5,1,4,-0.46,-4.05,-4.05,-4.05,40.7,12-1mo return: -11.0% | RSI=86.9 (overbought) | MACD line above signal,0,-1,-1,1,-1,0,-1,0
TAN,55.53,NEUTRAL,1,12.5,2,1,0.73,72.78,72.78,72.78,34.5,12-1mo return: +77.2% | RSI=60.9 (bearish zone) | MACD line above signal,0,1,-1,1,0,0,0,0
QCLN,54.3,NEUTRAL,1,12.5,3,2,1.06,72.68,72.68,72.68,41.7,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +52.2% | RSI=94.3 (overbought),1,1,-1,1,-1,0,0,0
ICLN,19.5499,NEUTRAL,1,12.5,3,2,0.77,54.77,54.77,54.77,33.4,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +48.4% | RSI=77.7 (overbought),1,1,-1,1,-1,0,0,0
ROBO,79.32,NEUTRAL,1,12.5,3,2,-0.05,40.48,40.48,40.48,36.0,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +25.1% | RSI=90.0 (overbought),1,1,-1,1,-1,0,0,0
BOTZ,37.4202,NEUTRAL,1,12.5,3,2,0.03,22.36,22.36,22.36,32.6,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +14.1% | RSI=87.3 (overbought),1,1,-1,1,-1,0,0,0
CIBR,66.7599,SELL,-3,37.5,1,4,0.42,-8.34,-8.34,-8.34,36.3,12-1mo return: -10.6% | RSI=67.9 (bearish zone) | MACD line above signal,0,-1,-1,1,-1,0,-1,0
BUG,26.49,SELL,-3,37.5,1,4,1.3,-26.86,-26.86,-26.86,46.5,12-1mo return: -27.5% | RSI=63.5 (bearish zone) | MACD line above signal,0,-1,-1,1,-1,0,-1,0
BNB-USD,628.19,WEAK SELL,-2,25.0,1,3,1.89,-3.1,-3.1,-3.1,34.2,12-1mo return: -26.9% | RSI=59.1 (bearish zone) | MACD line above signal,0,-1,-1,1,-1,0,0,0
AIQ,53.635,NEUTRAL,1,12.5,3,2,-0.86,28.17,28.17,28.17,30.8,Price > SMA50 > SMA200 (uptrend) | 12-1mo return: +16.6% | RSI=92.5 (overbought),1,1,-1,1,-1,0,0,0
HACK,78.655,WEAK SELL,-2,25.0,1,3,0.11,-5.99,-5.99,-5.99,42.8,RSI=63.5 (bearish zone) | MACD line above signal | Near upper band (BB%=0.80),0,0,-1,1,-1,0,-1,0
SOL-USD,85.82,SELL,-3,37.5,1,4,2.68,-43.84,-43.84,-43.84,51.8,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -57.0% | RSI=58.0 (bearish zone),-1,-1,-1,1,-1,0,0,0
BTC-USD,75736.8281,WEAK SELL,-2,25.0,1,3,2.55,-28.25,-28.25,-28.25,34.6,12-1mo return: -44.5% | RSI=67.0 (bearish zone) | MACD line above signal,0,-1,-1,1,-1,0,0,0
ADA-USD,0.2475,NEUTRAL,-1,12.5,1,2,2.05,-60.95,-60.95,-60.95,56.7,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -71.1% | MACD line above signal,-1,-1,0,1,0,0,0,0
ETH-USD,2312.6899,WEAK SELL,-2,25.0,1,3,2.11,-9.19,-9.19,-9.19,51.2,12-1mo return: -55.9% | RSI=61.1 (bearish zone) | MACD line above signal,0,-1,-1,1,-1,0,0,0
XRP-USD,1.4331,WEAK SELL,-2,25.0,1,3,2.76,-33.87,-33.87,-33.87,37.3,12-1mo return: -59.5% | RSI=62.5 (bearish zone) | MACD line above signal,0,-1,-1,1,-1,0,0,0
AVAX-USD,9.22,WEAK SELL,-2,25.0,1,3,2.33,-51.77,-51.77,-51.77,54.4,Price < SMA50 < SMA200 (downtrend) | 12-1mo return: -64.4% | MACD line above signal,-1,-1,0,1,0,0,0,-1
DOGE-USD,0.0948,NEUTRAL,-1,12.5,1,2,1.82,-46.06,-46.06,-46.06,39.3,12-1mo return: -61.5% | RSI=56.8 (bearish zone) | MACD line above signal,0,-1,-1,1,0,0,0,0
LINK-USD,9.259,WEAK SELL,-2,25.0,1,3,2.08,-30.37,-30.37,-30.37,50.3,12-1mo return: -63.4% | RSI=55.9 (bearish zone) | MACD line above signal,0,-1,-1,1,-1,0,0,0
